Sector,company_name,location,start_date,duration,stipend,skills
Human Resources (HR),Talent Trackers HR Private Limited,Pune,Immediately,3 Months,"? 7,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Social Media Marketing,AMIT NARAIN,Jabalpur,Immediately,3 Months,"? 5,500 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Frontend Web Development,TechBinge India Private Limited,Delhi,Immediately,3 Months,"? 10,000-13,000 /month","HTML, CSS, JavaScript, Git, Responsive Design, React/Angular/Vue"
Digital Marketing,Pari - The Fashion Store,Bangalore,Immediately,2 Months,"? 4,500 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Legal Research,Social Laws Today,Work From Home,Immediately,2 Months,Unpaid,"Research Methodology, Data Analysis, Academic Writing, Literature Review, Legal Research, Contract Drafting, Legal Writing, Compliance"
Sales & Marketing,National Program On Career Awareness,Work From Home,Immediately,2 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation, Negotiation, CRM, Lead Generation, Presentation"
Telecalling,Yoctel Solutions Private Limited,Delhi,Immediately,2 Months,"? 10,000 /month +  Incentives","Communication, CRM, Sales Pitch, Customer Service, Negotiation, Customer Handling"
Technical,Coditas Solutions Private Limited,Pune,Not specified,2 Months,"? 11,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Web Development,Proptelligence Technologies,Work From Home,Immediately,2 Months,"? 5,000 /month","HTML, CSS, JavaScript, Git, Responsive Design"
Machine Learning,Mentorness,Work From Home,Immediately,2 Months,"? 1,000 /month","Python, Scikit-learn, TensorFlow/PyTorch, Statistics, Linear Algebra"
Marketing Executive,WebMantra Technologies,Kolkata,Immediately,2 Months,"? 10,000 /month","Marketing Strategy, Communication, Analytics, Content Creation, MS Office, Organization, Problem Solving"
Backend Development,Hookfish,Work From Home,Immediately,2 Months,"? 10,000 /month","Node.js/Python/Java, REST APIs, Databases, Server Management"
Powerbi Analytics,Trames Private Limited,Work From Home,Immediately,2 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Graphic Design,Axis Enterprises,Ludhiana,Immediately,2 Months,"? 10,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Business Development (Sales),Innate AI,Work From Home,Immediately,2 Months,"? 8,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Human Resources (HR),IPA Indus Parking Services Private Limited,Gurgaon,Immediately,2 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Social Media/Digital Marketing Marketing,Seiko Media By Digixom Solutions,Work From Home,Immediately,2 Months,"? 7,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Social Media Platforms, Content Creation, Canva"
International Business Development,BEDO Design Agency,Work From Home,Immediately,2 Months,"? 1,000 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Eagerness to Learn, Teamwork, Basic Technical Skills"
Digital Marketing,Futuready Media,Mumbai,Immediately,2 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Human Resources (HR),Softone HR Solutions Pvt Ltd,Chennai,Immediately,2 Months,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
AWS Development - Python,AppiVa Software Private Limited,Work From Home,Immediately,2 Months,"? 7,000 /month","Python, OOP, Data Structures, Problem Solving, AWS, EC2, S3, Lambda"
Human Resources (HR),Loadshare Networks Private Limited,Bangalore,Immediately,2 Months,"? 20,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Psychology,Early Brain Magic,Work From Home,Immediately,2 Months,"? 3,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
Product Management,AppBroda,Work From Home,Immediately,2 Months,"? 10,000-30,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Estimation And Costing Engineering (Civil),Vivid Storeys LLP,Bangalore,Immediately,2 Months,"? 12,000-15,000 /month","AutoCAD, Structural Analysis, Construction Management, STAAD Pro"
Business Development (Sales),Virtual Conect Solutions,Work From Home,Immediately,2 Months,"? 5,000 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Human Resources (HR),Spectrum Broking Private Ltd,Delhi,Immediately,2 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Accounting & Tally,Brahmani Business Management Private Limited,Delhi,Immediately,2 Months,"? 17,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping"
Accounting & Bookkeeping,One Point Taxpert Private Limited,Delhi,Immediately,2 Months,"? 4,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping"
Digital Marketing,Technocratiq Digital,Work From Home,Immediately,2 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Business Development (Sales),Third Rock Techkno LLP,Work From Home,Immediately,2 Months,"? 1,000-3,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Digital Marketing,EcoChem,Work From Home,Immediately,2 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Subject Matter Expert (SME) - Economics,Miwo Eduserve,Work From Home,Immediately,2 Months,"? 10,000 /month","Domain Expertise, Teaching, Content Development, Communication"
WhatsApp Marketing,OliveBoard Comptech Private Limited,Kanchipuram,Immediately,2 Months,"? 4,999 /month","Marketing Strategy, Communication, Analytics, Content Creation, WhatsApp Business, Marketing Automation, CRM, SAP"
Online Marketing,OliveBoard Comptech Private Limited,Anantapur,Immediately,2 Months,"? 4,500 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Search Engine Optimization (SEO),Driftpoint Technologies Private Limited,Jaipur,Immediately,2 Months,"? 7,000 /month","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Translator / Transcriber (English To Hindi),Archit Chandra,Work From Home,Immediately,2 Months,"? 5,000-15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Human Resources (HR),Bharat Floorings & Tiles Private Limited,Mumbai,Immediately,2 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Graphic Design,Dheyo,Work From Home,Immediately,2 Months,"? 10,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Network Support,Treya Wireless Private Limited,Mumbai,Immediately,2 Months,"? 6,000 /month","Customer Support, Communication, Troubleshooting, Ticketing Systems"
Product Marketing,SkillVertex,Work From Home,Immediately,2 Months,"? 4,500 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Campus Ambassador,Corizo,Work From Home,Immediately,2 Months,Performance Based,"Communication, Problem Solving, Teamwork, MS Office"
Digital Marketing & Business Development,Sug Creative,Work From Home,Immediately,2 Months,"? 1,000-4,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, SEO, Google Ads, Social Media Marketing"
Content Writing,Buddymantra,Work From Home,Immediately,2 Months,"? 5,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Graphic Design,Progressive Canines,Work From Home,Immediately,2 Months,"? 8,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Data & Reporting,The Goofy Store India,Delhi,Immediately,2 Months,"? 9,000 /month","Report Writing, Data Analysis, MS Office, Communication"
Digital Marketing,Technomate Startup Services Private Limited,Jabalpur,Immediately,2 Months,"? 3,000-10,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Content Development (English),Veganlee,Work From Home,Immediately,2 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Data Entry,Shitalnath Trading Co,Mumbai,Immediately,2 Months,"? 3,000 /month","Typing Speed, MS Excel, Attention to Detail, Data Management"
Content Strategist,UpGrad,Bangalore,Immediately,2 Months,"? 25,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Graphic And Social Media Design,Send33,Work From Home,Immediately,2 Months,"? 7,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting"
Business Development,Jordiax Digital,Work From Home,Immediately,2 Months,"? 1,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM"
Recruitment,Zemoso Technologies Private Limited,Work From Home,Immediately,2 Months,"? 15,000-18,000 /month","Sourcing, Communication, LinkedIn, ATS, Screening"
Social Media Marketing,SkillVertex,Pudukkottai,Immediately,2 Months,"? 4,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
WhatsApp Marketing,SkillVertex,Work From Home,Immediately,2 Months,"? 4,000 /month","Marketing Strategy, Communication, Analytics, Content Creation, WhatsApp Business, Marketing Automation, CRM, SAP"
Email Marketing,SkillVertex,Work From Home,Immediately,2 Months,"? 5,000 /month","Email Campaigns, Copywriting, Mailchimp, Analytics, A/B Testing, Marketing Strategy, Communication, Content Creation"
Business Development,UniQual ITech,Surat,Immediately,2 Months,"? 8,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM"
College Event Coordination,SkillVertex,Chennai,Immediately,2 Months,"? 4,000 /month","Event Planning, Coordination, Communication, Organization"
Digital Marketing,SkillVertex,Karur,Immediately,2 Months,"? 2,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Photography,Very Much Indian,Pune,Immediately,2 Months,"? 5,000 /month +  Incentives","Camera Skills, Lighting, Adobe Lightroom, Composition, Photo Editing"
Business Development Associate/ Upwork Bidder,Silicon Garage,Shimla,Immediately,2 Months,"? 15,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Teamwork, MS Office, Problem Solving"
Video Editing & Digital Ads Creation,LoomCrafts Furniture India,Work From Home,Immediately,2 Months,"? 8,000-15,000 /month","Adobe Premiere Pro, After Effects, DaVinci Resolve, Color Grading, Storytelling, Editing, Proofreading, Grammar"
Fashion Design,Shop Top,Work From Home,Immediately,2 Months,"? 1,000 /month","Fashion Illustration, Textile Knowledge, Adobe Illustrator, Trend Analysis, Sewing"
Business Development,Techior,Nagpur,Immediately,2 Months,"? 5,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM"
Human Resources (HR),Prop Ocean Ventures Private Limited,Gurgaon,Immediately,2 Months,"? 5,000 /month +  Incentives","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Sales- Consulting Services,Samyuk Sustainable Solutions LLP,Work From Home,Immediately,2 Months,"? 1,000 /month +  Incentives","Communication, Negotiation, CRM, Lead Generation, Presentation"
Content Writing,PHP CRM,Work From Home,Immediately,2 Months,"? 2,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Backend Development (Node.js),Techosto,Noida,Immediately,2 Months,"? 10,000 /month","Node.js/Python/Java, REST APIs, Databases, Server Management, Node.js, JavaScript, Express.js, MongoDB"
WordPress Development,UnsaidTalks,Work From Home,Immediately,2 Months,"? 1,000 /month +  Incentives","WordPress, PHP, HTML, CSS, CMS"
Social Media Marketing,Indian School Of Image Management,Mumbai,Immediately,2 Months,"? 10,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Social Media Marketing,Indietoga,Delhi,Immediately,2 Months,"? 10,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Content Writing,Chudar,Work From Home,Immediately,2 Months,Unpaid,"Writing, Research, SEO, Grammar, Creativity, Editing"
IoT Engineering,UniConverge Technologies Private Limited,Noida,Immediately,2 Months,"? 6,000 /month","IoT Protocols, Arduino/Raspberry Pi, C/C++, Sensors, Embedded Systems"
Company Secretary (CS)trainee,Arin Consultancy Private Limited,Mumbai,Immediately,2 Months,"? 10,000-12,000 /month","Communication, Eagerness to Learn, Adaptability, Teamwork"
Business Development (Sales),Myfastx,Work From Home,Immediately,2 Months,"? 3,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Marketing,Delta AutoCorp Pvt Ltd.,Work From Home,Immediately,2 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Content Writing,Hindustan Global Web Solution,Work From Home,Immediately,2 Months,"? 1,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Unity Game Development,Purav Singla,Work From Home,Immediately,2 Months,"? 5,000-10,000 /month","Unity/Unreal, C#/C++, Game Design, 3D Modeling, Physics, Unity, C#, Game Development"
Fashion Design And Merchandising,Masumi Mewawalla,Mumbai,Immediately,2 Months,"? 5,000 /month","Fashion Illustration, Textile Knowledge, Adobe Illustrator, Trend Analysis, Sewing"
Admin Cum Accounts,Vansum Industries,Pune,Immediately,2 Months,"? 8,000 /month","MS Office, Communication, Organization, Data Entry, Scheduling"
Information Technology,Infotrends Software Solutions Private Limited,Hyderabad,Immediately,2 Months,"? 6,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Law/Legal,Nishant Mandawara & Associates,Jaipur,Immediately,2 Months,"? 5,000-10,000 /month","Legal Research, Contract Drafting, Legal Writing, Compliance, Case Analysis, Regulatory Compliance"
Graphic Design,Stylish Wear,Work From Home,Immediately,2 Months,"? 8,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Enterprise Sales Executive (IT Solution Sales),Hawktech Advance Solutions,Noida,Immediately,3 Months,"? 4,000-7,000 /month","Communication, MS Office, Organization, Problem Solving, Negotiation, CRM, Lead Generation, Presentation"
